0041; C; 0061; 
0042; C; 0062; 
0043; C; 0063; 
0044; C; 0064; 
0045; C; 0065; 
0046; C; 0066; 
0047; C; 0067; 
0048; C; 0068; 
0049; C; 0069; 
0049; T; 0131; 
004A; C; 006A; 
004B; C; 006B; 
004C; C; 006C; 
004D; C; 006D; 
004E; C; 006E; 
004F; C; 006F; 
0050; C; 0070; 
0051; C; 0071; 
0052; C; 0072; 
0053; C; 0073; 
0054; C; 0074; 
0055; C; 0075; 
0056; C; 0076; 
0057; C; 0077; 
0058; C; 0078; 
0059; C; 0079; 
005A; C; 007A; 
00B5; C; 03BC; 
00C0; C; 00E0; 
00C1; C; 00E1; 
00C2; C; 00E2; 
00C3; C; 00E3; 
00C4; C; 00E4; 
00C5; C; 00E5; 
00C6; C; 00E6; 
00C7; C; 00E7; 
00C8; C; 00E8; 
00C9; C; 00E9; 
00CA; C; 00EA; 
00CB; C; 00EB; 
00CC; C; 00EC; 
00CD; C; 00ED; 
00CE; C; 00EE; 
00CF; C; 00EF; 
00D0; C; 00F0; 
00D1; C; 00F1; 
00D2; C; 00F2; 
00D3; C; 00F3; 
00D4; C; 00F4; 
00D5; C; 00F5; 
00D6; C; 00F6; 
00D8; C; 00F8; 
00D9; C; 00F9; 
00DA; C; 00FA; 
00DB; C; 00FB; 
00DC; C; 00FC; 
00DD; C; 00FD; 
00DE; C; 00FE; 
00DF; F; 0073 0073; 
0100; C; 0101; 
0102; C; 0103; 
0104; C; 0105; 
0106; C; 0107; 
0108; C; 0109; 
010A; C; 010B; 
010C; C; 010D; 
010E; C; 010F; 
0110; C; 0111; 
0112; C; 0113; 
0114; C; 0115; 
0116; C; 0117; 
0118; C; 0119; 
011A; C; 011B; 
011C; C; 011D; 
011E; C; 011F; 
0120; C; 0121; 
0122; C; 0123; 
0124; C; 0125; 
0126; C; 0127; 
0128; C; 0129; 
012A; C; 012B; 
012C; C; 012D; 
012E; C; 012F; 
0130; F; 0069 0307; 
0130; T; 0069; 
0132; C; 0133; 
0134; C; 0135; 
0136; C; 0137; 
0139; C; 013A; 
013B; C; 013C; 
013D; C; 013E; 
013F; C; 0140; 
0141; C; 0142; 
0143; C; 0144; 
0145; C; 0146; 
0147; C; 0148; 
0149; F; 02BC 006E; 
014A; C; 014B; 
014C; C; 014D; 
014E; C; 014F; 
0150; C; 0151; 
0152; C; 0153; 
0154; C; 0155; 
0156; C; 0157; 
0158; C; 0159; 
015A; C; 015B; 
015C; C; 015D; 
015E; C; 015F; 
0160; C; 0161; 
0162; C; 0163; 
0164; C; 0165; 
0166; C; 0167; 
0168; C; 0169; 
016A; C; 016B; 
016C; C; 016D; 
016E; C; 016F; 
0170; C; 0171; 
0172; C; 0173; 
0174; C; 0175; 
0176; C; 0177; 
0178; C; 00FF; 
0179; C; 017A; 
017B; C; 017C; 
017D; C; 017E; 
017F; C; 0073; 
0181; C; 0253; 
0182; C; 0183; 
0184; C; 0185; 
0186; C; 0254; 
0187; C; 0188; 
0189; C; 0256; 
018A; C; 0257; 
018B; C; 018C; 
018E; C; 01DD; 
018F; C; 0259; 
0190; C; 025B; 
0191; C; 0192; 
0193; C; 0260; 
0194; C; 0263; 
0196; C; 0269; 
0197; C; 0268; 
0198; C; 0199; 
019C; C; 026F; 
019D; C; 0272; 
019F; C; 0275; 
01A0; C; 01A1; 
01A2; C; 01A3; 
01A4; C; 01A5; 
01A6; C; 0280; 
01A7; C; 01A8; 
01A9; C; 0283; 
01AC; C; 01AD; 
01AE; C; 0288; 
01AF; C; 01B0; 
01B1; C; 028A; 
01B2; C; 028B; 
01B3; C; 01B4; 
01B5; C; 01B6; 
01B7; C; 0292; 
01B8; C; 01B9; 
01BC; C; 01BD; 
01C4; C; 01C6; 
01C5; C; 01C6; 
01C7; C; 01C9; 
01C8; C; 01C9; 
01CA; C; 01CC; 
01CB; C; 01CC; 
01CD; C; 01CE; 
01CF; C; 01D0; 
01D1; C; 01D2; 
01D3; C; 01D4; 
01D5; C; 01D6; 
01D7; C; 01D8; 
01D9; C; 01DA; 
01DB; C; 01DC; 
01DE; C; 01DF; 
01E0; C; 01E1; 
01E2; C; 01E3; 
01E4; C; 01E5; 
01E6; C; 01E7; 
01E8; C; 01E9; 
01EA; C; 01EB; 
01EC; C; 01ED; 
01EE; C; 01EF; 
01F0; F; 006A 030C; 
